state,county,county_FIPS,year,opioid_claim_count,opioid_day_supply,opioid_prescriber_rate,la_opioid_claim_count,la_opioid_day_supply,la_opioid_prescriber_rate
AL,Coosa County,1037,2014,58369.0,1336307.0,11.185527234267584,1717.0,49149.0,0.8053982020095187
AL,Coosa County,1037,2015,53148.0,1202989.0,9.707869623655913,1626.0,47028.0,0.7478469574780059
AL,Coosa County,1037,2016,52004.0,1171038.0,9.06118297146402,1462.0,42412.0,0.6324522952853598
AL,Coosa County,1037,2017,49811.0,1130818.0,8.143637855636156,1198.0,34588.0,0.5217401347944641
AL,Covington County,1039,2013,55293.0,1405194.0,8.250246986373165,2898.0,84700.0,3.4833550838574423
AL,Covington County,1039,2014,52725.0,1369442.0,8.61915396825397,2457.0,72269.0,2.480510582010582
AL,Covington County,1039,2015,49121.0,1272020.0,14.467843915343915,2335.0,69068.0,2.816223544973545
AL,Covington County,1039,2016,46177.0,1202135.0,19.381867724867725,2075.0,60487.0,4.590230158730159
AL,Covington County,1039,2017,45212.0,1172355.0,16.592112301587303,1840.0,54208.0,1.7359514550264552
AL,Crenshaw County,1041,2013,21994.0,521026.0,7.731676923076923,1456.0,42604.0,1.7558666666666667
AL,Crenshaw County,1041,2014,24263.0,605724.0,7.270150183150181,1401.0,41450.0,1.3275362637362638
AL,Crenshaw County,1041,2015,20891.0,533550.0,6.241949190594353,1250.0,37489.0,1.0165518137776204
AL,Crenshaw County,1041,2016,16447.0,414647.0,5.50472716530781,938.0,27635.0,0.7964686281460475
AL,Crenshaw County,1041,2017,14917.0,371753.0,4.976138888888889,806.0,24256.0,0.4984920634920635
AL,Cullman County,1043,2013,252693.0,5500634.0,10.14949262751864,27740.0,714726.0,2.133013165027236
AL,Cullman County,1043,2014,249912.0,5798091.0,10.058119865222388,25843.0,721777.0,1.8829294265159227
AL,Cullman County,1043,2015,245031.0,5851092.0,10.317976809910956,26150.0,733253.0,2.0124118466898957
AL,Cullman County,1043,2016,247586.0,5955736.0,9.664717200515492,28130.0,788307.0,1.7544592817493743
AL,Cullman County,1043,2017,226600.0,5533477.0,10.01682977823986,26644.0,746699.0,1.1181767340363542
AL,Dale County,1045,2013,116888.0,2392106.0,12.16198555078684,8503.0,242465.0,1.5866149141630903
AL,Dale County,1045,2014,111444.0,2326035.0,11.287133207879204,8435.0,239501.0,1.367112928251371
AL,Dale County,1045,2015,106281.0,2289353.0,13.040729330243229,8240.0,235806.0,1.7656370615245187
AL,Dale County,1045,2016,106924.0,2341232.0,12.902139011111938,8142.0,234677.0,0.5837420327572064
AL,Dale County,1045,2017,104044.0,2286830.0,10.740224495588597,7609.0,220335.0,0.4934199198565855
AL,Dallas County,1047,2013,44376.0,967886.0,7.5295019157088126,6148.0,167290.0,1.121992337164751
AL,Dallas County,1047,2014,43766.0,982110.0,9.230689655172412,6194.0,172422.0,1.7368965517241375
AL,Dallas County,1047,2015,39892.0,930630.0,8.288064516129031,6016.0,173614.0,1.4597849462365593
AL,Dallas County,1047,2016,37718.0,908452.0,7.447311827956987,5856.0,170504.0,1.0126881720430108
AL,Dallas County,1047,2017,32614.0,795806.0,6.5873195876288655,5108.0,147680.0,0.8982474226804124
AL,DeKalb County,1049,2013,74402.0,1744633.0,9.47492752727397,4874.0,136612.0,1.8569822260474198
AL,DeKalb County,1049,2014,78107.0,1856981.0,9.197831713108217,4978.0,139384.0,1.673387894802207
AL,DeKalb County,1049,2015,76474.0,1896424.0,8.188321169609079,5310.0,150256.0,1.3412654213955444
AL,DeKalb County,1049,2016,79387.0,1983660.0,6.624387149710387,5893.0,164553.0,1.5760671356710478
AL,DeKalb County,1049,2017,78250.0,1996158.0,5.898133631487401,5649.0,156782.0,1.310855948724991
AL,Elmore County,1051,2013,74844.0,1708202.0,9.151949371642848,6268.0,184624.0,1.266919752711057
AL,Elmore County,1051,2014,72144.0,1682110.0,11.829015898874383,6351.0,186464.0,1.3419149656561298
AL,Elmore County,1051,2015,59952.0,1377758.0,8.890162575757575,5824.0,165701.0,1.2508416666666666
AL,Elmore County,1051,2016,74274.0,1804108.0,9.923851377018044,9210.0,270400.0,1.4298926521680144
AL,Elmore County,1051,2017,79746.0,1978827.0,6.39913118305154,9090.0,269918.0,0.9742509521827316
AL,Escambia County,1053,2013,42791.0,1079059.0,8.632363731656184,1933.0,56767.0,1.1025914479866985
